Store,Dept,Date,Weekly_Pred
1.0,1.0,2011-09-02,15879.971333339781
1.0,1.0,2011-09-09,17832.931333339744
1.0,1.0,2011-09-16,18992.421333339502
1.0,1.0,2011-09-23,17760.711333338724
1.0,1.0,2011-09-30,19732.381333340745
1.0,1.0,2011-10-07,23026.221333339898
1.0,1.0,2011-10-14,26616.53133333972
1.0,1.0,2011-10-21,25181.231333338743
1.0,1.0,2011-10-28,38279.121333339106
1.0,2.0,2011-09-02,49022.101333268554
1.0,2.0,2011-09-09,45189.55133326857
1.0,2.0,2011-09-16,44688.69133326856
1.0,2.0,2011-09-23,42484.541333268564
1.0,2.0,2011-09-30,45836.0713332686
1.0,2.0,2011-10-07,46394.59133326854
1.0,2.0,2011-10-14,43117.84133326858
1.0,2.0,2011-10-21,42378.531333268555
1.0,2.0,2011-10-28,44088.38133326857
1.0,3.0,2011-09-02,18867.732000001386
1.0,3.0,2011-09-09,11920.62200000146
1.0,3.0,2011-09-16,10508.392000001537
1.0,3.0,2011-09-23,7883.8520000020235
1.0,3.0,2011-09-30,9561.10200000086
1.0,3.0,2011-10-07,9867.732000001388
1.0,3.0,2011-10-14,9521.662000001439
1.0,3.0,2011-10-21,8400.342000002014
1.0,3.0,2011-10-28,9069.022000001774
1.0,4.0,2011-09-02,38051.38933335036
1.0,4.0,2011-09-09,36333.28933335038
1.0,4.0,2011-09-16,33728.51933335036
1.0,4.0,2011-09-23,32226.9393333504
1.0,4.0,2011-09-30,34641.95933335031
1.0,4.0,2011-10-07,35502.3293333503
1.0,4.0,2011-10-14,34422.77933335037
1.0,4.0,2011-10-21,32631.76933335036
1.0,4.0,2011-10-28,34931.949333350414
1.0,5.0,2011-09-02,15510.075333330797
1.0,5.0,2011-09-09,17896.115333330774
1.0,5.0,2011-09-16,15982.165333330648
1.0,5.0,2011-09-23,17158.935333330082
1.0,5.0,2011-09-30,23500.93533333142
1.0,5.0,2011-10-07,19973.12533333084
1.0,5.0,2011-10-14,20562.605333330765
1.0,5.0,2011-10-21,19645.405333330054
1.0,5.0,2011-10-28,16497.01533333039
1.0,6.0,2011-09-02,2267.16566666779
1.0,6.0,2011-09-09,3146.105666667734
1.0,6.0,2011-09-16,3206.2956666676782
1.0,6.0,2011-09-23,3314.8056666674547
1.0,6.0,2011-09-30,1589.6056666677343
1.0,6.0,2011-10-07,2881.7756666676596
1.0,6.0,2011-10-14,3737.4556666673616
1.0,6.0,2011-10-21,3004.685666667343
1.0,6.0,2011-10-28,4137.685666667343
1.0,7.0,2011-09-02,17073.481333333155
1.0,7.0,2011-09-09,19892.32133333324
1.0,7.0,2011-09-16,16464.841333333257
1.0,7.0,2011-09-23,17295.22133333338
1.0,7.0,2011-09-30,15549.621333333283
1.0,7.0,2011-10-07,15418.791333333209
1.0,7.0,2011-10-14,15364.481333333153
1.0,7.0,2011-10-21,14463.101333333265
1.0,7.0,2011-10-28,16666.81133333323
1.0,8.0,2011-09-02,35378.478333355706
1.0,8.0,2011-09-09,32553.688333355665
1.0,8.0,2011-09-16,33578.11833335566
1.0,8.0,2011-09-23,31197.768333355565
1.0,8.0,2011-09-30,34474.04833335583
1.0,8.0,2011-10-07,35782.4683333557
1.0,8.0,2011-10-14,33563.478333355706
1.0,8.0,2011-10-21,32475.538333355584
1.0,8.0,2011-10-28,34733.56833335567
1.0,9.0,2011-09-02,40155.182666622975
1.0,9.0,2011-09-09,40659.66266662307
1.0,9.0,2011-09-16,28997.562666623093
1.0,9.0,2011-09-23,28101.062666623442
1.0,9.0,2011-09-30,45493.70266662253
1.0,9.0,2011-10-07,36352.38266662293
1.0,9.0,2011-10-14,32804.702666622994
1.0,9.0,2011-10-21,30818.262666623512
1.0,9.0,2011-10-28,31846.26266662328
1.0,10.0,2011-09-02,34304.7236666663
1.0,10.0,2011-09-09,33103.773666666115
1.0,10.0,2011-09-16,30060.64366666623
1.0,10.0,2011-09-23,29944.7536666661
1.0,10.0,2011-09-30,30611.893666666463
1.0,10.0,2011-10-07,31581.703666666286
1.0,10.0,2011-10-14,31695.053666666146
1.0,10.0,2011-10-21,27653.433666666035
1.0,10.0,2011-10-28,26311.7536666661
1.0,11.0,2011-09-02,18694.599000009526
1.0,11.0,2011-09-09,17499.22900000988
1.0,11.0,2011-09-16,17944.779000009694
1.0,11.0,2011-09-23,17607.109000010234
1.0,11.0,2011-09-30,17618.37900000932
1.0,11.0,2011-10-07,20996.829000009508
1.0,11.0,2011-10-14,18752.489000009657
1.0,11.0,2011-10-21,17556.859000010234
1.0,11.0,2011-10-28,19429.579000009973
1.0,12.0,2011-09-02,11657.273666682806
1.0,12.0,2011-09-09,11142.40366668281
1.0,12.0,2011-09-16,10391.873666682899
1.0,12.0,2011-09-23,10123.313666683076
1.0,12.0,2011-09-30,10177.693666682499
