,0
0,m2858
1,m260
2,m1196
3,m1210
4,m2028
5,m1198
6,m593
7,m2571
8,m2762
9,m589
10,m608
11,m527
12,m110
13,m1270
14,m318
15,m858
16,m480
17,m1197
18,m2396
19,m1617
20,m1580
21,m296
22,m2997
23,m1265
24,m1097
25,m356
26,m1240
27,m1
28,m2716
29,m1214
30,m457
31,m50
32,m3578
33,m541
34,m2628
35,m1193
36,m1200
37,m1221
38,m912
39,m2916
40,m1259
41,m919
42,m1213
43,m924
44,m1387
45,m1136
46,m2791
47,m1036
48,m34
49,m1291
50,m1610
51,m3114
52,m2987
53,m2355
54,m3175
55,m1704
56,m1307
57,m2000
58,m1127
59,m750
60,m780
61,m2918
62,m1304
63,m2599
64,m1968
65,m32
66,m2959
67,m377
68,m1225
69,m3471
70,m3793
71,m1394
72,m908
73,m2797
74,m2804
75,m590
76,m1784
77,m1374
78,m223
79,m1721
80,m1230
81,m3481
82,m1961
83,m1247
84,m1923
85,m2174
86,m1219
87,m2291
88,m1220
89,m1079
90,m648
91,m3418
92,m1584
93,m1089
94,m111
95,m3751
96,m1222
97,m592
98,m2706
99,m1252
100,m588
101,m150
102,m380
103,m1393
104,m3408
105,m3147
106,m1278
107,m1073
108,m1527
109,m1206
110,m1208
111,m733
112,m2324
113,m2406
114,m1358
115,m39
116,m21
117,m923
118,m3421
119,m1356
120,m2683
121,m1573
122,m2700
123,m3527
124,m904
125,m2395
126,m1090
127,m1288
128,m47
129,m1242
130,m3176
131,m3753
132,m1641
133,m920
134,m357
135,m1094
136,m913
137,m1294
138,m1234
139,m2692
140,m3671
141,m2194
142,m969
143,m1517
144,m1258
145,m1954
146,m3160
147,m1500
148,m364
149,m2640
150,m2529
151,m1233
152,m2321
153,m1673
154,m2985
155,m3361
156,m3897
157,m3623
158,m1674
159,m2268
160,m2115
161,m595
162,m1376
163,m1250
164,m2302
165,m1207
166,m2699
167,m1732
168,m1266
169,m1396
170,m2657
171,m3255
172,m3448
173,m3253
174,m1370
175,m1653
176,m2100
177,m3363
178,m1148
179,m2763
180,m1276
181,m349
182,m3256
183,m1028
184,m587
185,m11
186,m3702
187,m316
188,m2081
189,m2890
190,m1682
191,m2289
192,m2011
193,m903
194,m367
195,m1608
196,m1544
197,m597
198,m3703
199,m293
200,m2336
201,m2710
202,m3081
203,m1199
204,m2968
205,m1101
206,m2012
207,m1080
208,m3552
209,m3072
210,m474
211,m1408
212,m539
213,m551
214,m2455
215,m1282
216,m36
217,m3052
218,m2248
219,m1204
220,m1639
221,m6
222,m1676
223,m2353
224,m440
225,m1215
226,m3006
227,m2001
228,m25
229,m910
230,m1183
231,m2947
232,m2407
233,m1917
234,m1953
235,m736
236,m1997
237,m2006
238,m1909
239,m1035
240,m1625
241,m1912
242,m3108
243,m235
244,m1246
245,m1372
246,m2908
247,m3210
248,m1201
249,m3755
250,m3499
251,m17
252,m1179
253,m2617
254,m329
255,m1748
256,m2502
257,m1267
258,m3543
259,m2080
260,m2105
261,m2064
262,m2352
263,m899
264,m3555
265,m3039
266,m1777
267,m1407
268,m1747
269,m10
270,m953
271,m3948
272,m2470
273,m2746
274,m1552
275,m1391
276,m1299
277,m1375
278,m2915
279,m1060
280,m1947
